question,answer,context
Who are you?,efood Marketing team,"efood Marketing team are the Marketing team of efood, a popular online food delivery platform in Greece, and in this book, efood Marketing team share our operational transformation journey and the way efood Marketing team work. For the past four and a half years, efood Marketing team have changed our way of thinking and working, efood Marketing team have experimented with a couple of available frameworks, and developed a method of working by mixing and matching processes that made sense to our team and business context."
What is this about?,Its a handbook about Agile Marketing,"This handbook is not about teaching you Agile or Lean methodologies. You can find coaches and Agile professionals with plenty of experience and in-depth knowledge to help you understand and implement the core concepts. These methodologies are easily learned and understood, but they are still difficult to implement and master. Agile methods haven’t been designed with the Marketing industry in mind; efood Marketing team learned that the hard way. Hence, a modern Marketing team that wants to adopt the approach presented in this book should first consider its use seriously and then try to use it with its (many) pros and cons since this specific method was born and implemented by a Marketing team."
Why this and not an established framework like Scrum?,We dont want to reinvent the wheel but Nero is more useful,"Most of the techniques that you will encounter in this book are not new, but they are not widespread in the marketing landscape. efood Marketing team do not want to reinvent the wheel. efood Marketing team have been experimenting throughout the years, so our system now is more like a mix and match model consisting of techniques from many popular frameworks, adjusted to marketing needs."
Who should read this book?,marketing professionals that work in “traditional” marketing teams or big corporations with a strict marketing structure.,"The whole concept was written with two different marketing personas in mind. The first group consists of marketing professionals that work in “traditional” marketing teams or big corporations with a strict marketing structure. In this book, a different and more efficient way to work and collaborate will be introduced. By being more flexible with the processes you have established, you can efficiently cope with changes in your environment and the industry you work with, without compromising the desired brand safety and performance."
Why they should read the book?,To read about a more efficient way to work and collaborate.,"a different and more efficient way to work and collaborate will be introduced. By being more flexible with the processes you have established, you can efficiently cope with changes in your environment and the industry you work with, without compromising the desired brand safety and performance."
Who should read this book?,modern marketers  working at full speed,"The second group is the group of modern marketers that are not aware of traditional bureaucratic processes, something that can be considered as an advantage. While working at full speed, most of the time, you tend to create anarchy and work until you burn out (we experienced burnout syndromes before Nero as well). This book can be your guide for setting lightweight but mandatory processes and maintaining your fast pace without producing projects and campaigns in a random way."
Why they should read the book?,its a guide for setting lightweight but mandatory processes,"This book can be your guide for setting lightweight but mandatory processes and maintaining your fast pace without producing projects and campaigns in a random way. When efood Marketing team started, efood Marketing team were definitely in the second group. However, our company and our department evolved and grew. Currently, being a group of big marketing teams, efood Marketing team are trying to keep most of the pros that efood Marketing team had as a small team."
Is this book direct us to heaven?,No it won't," Please do not assume that once you read and implement the techniques from this book, you will be taken to “Marketing heaven” where everything flows seamlessly, and everyone is happy. No. What this book will do is help you build a prospering environment that works well, generates great business and marketing performance, and cultivates fruitful interpersonal relationships."
Why Marketing should become agile?,Due to marketing landscape complexity,"Agile methodologies have been devised to handle complex IT projects effectively and in time. In the mid-nineties, IT departments realized that if they were to tackle complexity well, they needed to set up processes different from the traditional waterfall methods*. Nowadays, the marketing landscape faces the same problem with the same root cause. Complexity."
Give me an example of marketing complexity,advanced online remarketing campaigns or advanced technical SEO,"Before the digital revolution, marketing ads and activities were handled mostly manually and offline. Promoting a product on the radio or in magazines was a straightforward process between marketers, who used to strictly follow the initial project specs, with distinct steps that were time-consuming and not easily adapted to the emerging needs or changes. With the emergence of digital marketing, in order to create an online campaign, marketers needed to add targeting options and budget parameters in digital platforms, set up tracking concepts, experiment with bidding strategies, test multiple creatives and copy, and monitor the performance. There are modern marketing verticals, such as remarketing campaigns or advanced technical SEO that even tech-savvy professionals are struggling to excel at mostly due to their technical complexity. Agile methodologies can help marketers to better handle and implement complex tasks doing the mandatory iterations, as well as make rapid changes, according to performance or potential business changes."
